OBJECTID,name,year,rate
18,Chickasaw,2015,3.209677419
18,Chickasaw,2016,3.357388316
18,Chickasaw,2017,3.100200401
18,Chickasaw,2018,2.834572491
18,Chickasaw,2019,2.702010969
18,Chickasaw,2020,2.773897059
18,Chickasaw,2021,3.315436242
18,Chickasaw,2022,3.09623431
19,Floyd,2001,3.052462527
19,Floyd,2002,2.790882061
19,Floyd,2003,2.888075314
19,Floyd,2004,1.203640501
19,Floyd,2005,1.112903226
19,Floyd,2006,2.900546448
19,Floyd,2007,2.772870662
19,Floyd,2008,2.575073602
19,Floyd,2009,0.942798774
19,Floyd,2010,0.922998987
19,Floyd,2011,0.540983607
19,Floyd,2012,0.510835913
19,Floyd,2013,0.449060336
19,Floyd,2014,2.194475138
19,Floyd,2015,2.066246057
19,Floyd,2016,2.072572038
19,Floyd,2017,2.034188034
19,Floyd,2018,1.924623116
19,Floyd,2019,1.886363636
19,Floyd,2020,1.929577465
19,Floyd,2021,1.944501542
19,Floyd,2022,1.833665339
20,Clayton,2001,3.453475936
20,Clayton,2002,3.262226847
20,Clayton,2003,3.376779847
20,Clayton,2004,3.225
20,Clayton,2005,2.994542974
20,Clayton,2006,3.20328849
20,Clayton,2007,3.013850416
20,Clayton,2008,2.986091794
20,Clayton,2009,2.673656619
20,Clayton,2010,2.538461538
20,Clayton,2011,2.515228426
20,Clayton,2012,2.579617834
20,Clayton,2013,2.780821918
20,Clayton,2014,2.922644163
20,Clayton,2015,2.834699454
20,Clayton,2016,2.775675676
20,Clayton,2017,3.130434783
20,Clayton,2018,2.588729017
20,Clayton,2019,2.617142857
20,Clayton,2020,2.766773163
20,Clayton,2021,2.892682927
20,Clayton,2022,2.494901961
21,Fayette,2001,3.240188383
21,Fayette,2002,2.985218034
21,Fayette,2003,2.879120879
21,Fayette,2004,0.748523207
21,Fayette,2005,1.092852371
21,Fayette,2006,2.702739726
21,Fayette,2007,2.618983051
21,Fayette,2008,2.819110139
21,Fayette,2009,1.591304348
21,Fayette,2010,1.477316294
21,Fayette,2011,1.39350406
21,Fayette,2012,1.347692308
21,Fayette,2013,1.281129653
21,Fayette,2014,2.070917372
21,Fayette,2015,2.045542014
21,Fayette,2016,2.008301405
21,Fayette,2017,2.061497326
21,Fayette,2018,1.946270544
21,Fayette,2019,1.940880503
21,Fayette,2020,2.107977992
21,Fayette,2021,2.236520489
21,Fayette,2022,2.031270358
22,Plymouth,2001,6.112033195
22,Plymouth,2002,5.811497326
22,Plymouth,2003,5.491885144
22,Plymouth,2004,2.500587544
22,Plymouth,2005,2.281914894
22,Plymouth,2006,5.075845974
22,Plymouth,2007,5.062133646
22,Plymouth,2008,4.797327394
22,Plymouth,2009,2.164948454
22,Plymouth,2010,2.018450185
22,Plymouth,2011,1.936880072
22,Plymouth,2012,1.865697177
22,Plymouth,2013,1.753322259
22,Plymouth,2014,3.39408867
22,Plymouth,2015,3.441515651
22,Plymouth,2016,3.579526227
22,Plymouth,2017,3.469918699
22,Plymouth,2018,3.092552422
22,Plymouth,2019,3.034776437
22,Plymouth,2020,3.206922498
22,Plymouth,2021,3.275888133
22,Plymouth,2022,3.04721635
23,Cherokee,2001,4.729306488
23,Cherokee,2002,4.005813953
23,Cherokee,2003,3.7
23,Cherokee,2004,1.547272727
23,Cherokee,2005,1.436944938
23,Cherokee,2006,3.335779817
23,Cherokee,2007,3.538910506
23,Cherokee,2008,2.970099668
23,Cherokee,2009,1.128246753
23,Cherokee,2010,1.257657658
23,Cherokee,2011,1.145662848
23,Cherokee,2012,1.074780059
23,Cherokee,2013,1.029007634
23,Cherokee,2014,2.5
23,Cherokee,2015,2.604133545
23,Cherokee,2016,2.658496732
23,Cherokee,2017,2.496194825
23,Cherokee,2018,2.569060773
23,Cherokee,2019,2.688555347
23,Cherokee,2020,2.46875
23,Cherokee,2021,2.716911765
23,Cherokee,2022,2.58490566
24,Buena Vista,2001,2.597749648
24,Buena Vista,2002,2.607387141
24,Buena Vista,2003,2.432655654
24,Buena Vista,2004,1.125802311
24,Buena Vista,2005,1.035414166
24,Buena Vista,2006,2.124645892
24,Buena Vista,2007,2.127423823
24,Buena Vista,2008,2.018585441
24,Buena Vista,2009,0.787166742
24,Buena Vista,2010,0.774581365
24,Buena Vista,2011,0.732665331
24,Buena Vista,2012,0.700389105
24,Buena Vista,2013,0.66453929
24,Buena Vista,2014,1.597821702
24,Buena Vista,2015,1.550840979
24,Buena Vista,2016,1.636326194
24,Buena Vista,2017,1.653425213
24,Buena Vista,2018,1.635125184
24,Buena Vista,2019,1.57982906
